title,section_code,act_name,jurisdiction,text,citations
Arbitration Agreement,Section 7,Arbitration and Conciliation Act 1996,IN,"Arbitration agreement means an agreement by the parties to submit to arbitration all or certain disputes which have arisen or which may arise between them in respect of a defined legal relationship, whether contractual or not.",Section 8
Enforcement of Award,Section 36,Arbitration and Conciliation Act 1996,IN,"Where the time for making an application to set aside the arbitral award under section 34 has expired, or such application having been made, it has been refused, the award shall be enforced under the Code of Civil Procedure, 1908 in the same manner as if it were a decree of the court.",Section 34
Arbitral Tribunal,Section 10,Arbitration and Conciliation Act 1996,IN,"The parties are free to determine the number of arbitrators, provided that such number shall not be an even number. Failing the determination referred to in sub-section (1), the arbitral tribunal shall consist of a sole arbitrator.",Section 11
Appointment of Arbitrators,Section 11,Arbitration and Conciliation Act 1996,IN,"A person of any nationality may be an arbitrator, unless otherwise agreed by the parties. The parties are free to agree on a procedure for appointing the arbitrator or arbitrators.",Section 12
Challenge to Arbitrator,Section 12,Arbitration and Conciliation Act 1996,IN,"When a person is approached in connection with his possible appointment as an arbitrator, he shall disclose in writing any circumstances likely to give rise to justifiable doubts as to his independence or impartiality.",Section 13
Termination of Mandate,Section 14,Arbitration and Conciliation Act 1996,IN,"The mandate of an arbitrator shall terminate if he becomes de jure or de facto unable to perform his functions or for other reasons fails to act without undue delay.",Section 15
Jurisdiction of Arbitral Tribunal,Section 16,Arbitration and Conciliation Act 1996,IN,"The arbitral tribunal may rule on its own jurisdiction, including ruling on any objections with respect to the existence or validity of the arbitration agreement.",Section 17
Interim Measures,Section 9,Arbitration and Conciliation Act 1996,IN,"A party may, before or during arbitral proceedings or at any time after the making of the arbitral award but before it is enforced in accordance with section 36, apply to a court for interim measures of protection.",Section 17
Conduct of Arbitral Proceedings,Section 18,Arbitration and Conciliation Act 1996,IN,"The parties shall be treated with equality and each party shall be given a full opportunity to present his case.",Section 19
Place of Arbitration,Section 20,Arbitration and Conciliation Act 1996,IN,"The parties are free to agree on the place of arbitration. Failing any agreement, the place of arbitration shall be determined by the arbitral tribunal having regard to the circumstances of the case, including the convenience of the parties.",Section 21
Language,Section 22,Arbitration and Conciliation Act 1996,IN,"The parties are free to agree upon the language or languages to be used in the arbitral proceedings. Failing such agreement, the arbitral tribunal shall determine the language or languages to be used in the arbitral proceedings.",Section 23
Statement of Claim,Section 23,Arbitration and Conciliation Act 1996,IN,"Within the period of time agreed upon by the parties or determined by the arbitral tribunal, the claimant shall state the facts supporting his claim, the points at issue and the relief or remedy sought.",Section 24
Arbitral Award,Section 28,Arbitration and Conciliation Act 1996,IN,"Where the place of arbitration is situate in India, in an arbitral proceeding other than an international commercial arbitration, the arbitral tribunal shall decide the dispute in accordance with the substantive law for the time being in force in India.",Section 29
Form and Contents of Award,Section 31,Arbitration and Conciliation Act 1996,IN,"An arbitral award shall be made in writing and shall be signed by the members of the arbitral tribunal. The arbitral award shall state the reasons upon which it is based, unless the parties have agreed that no reasons are to be given.",Section 32
Setting Aside Award,Section 34,Arbitration and Conciliation Act 1996,IN,"An arbitral award may be set aside by the court only if the party making the application furnishes proof that a party was under some incapacity, or the arbitration agreement is not valid under the law to which the parties have subjected it.",Section 35
Finality of Award,Section 35,Arbitration and Conciliation Act 1996,IN,"Subject to this Part, an arbitral award shall be final and binding on the parties and persons claiming under them respectively.",Section 36
