title,section_code,act_name,jurisdiction,text,citations
Board Meetings,Section 173,Companies Act 2013,IN,"Every company shall hold the first meeting of the Board of Directors within thirty days of the date of its incorporation and thereafter hold a minimum of four meetings every year with not more than one hundred and twenty days between two such meetings.",Secretarial Standards 1
Related Party Transactions,Section 188,Companies Act 2013,IN,"Except with the consent of the Board of Directors given by a resolution at a meeting of the Board and subject to such conditions as may be prescribed, no company shall enter into any contract or arrangement with a related party.",Rule 15 Companies (Meetings of Board)
Minutes of Meetings,Section 118,Companies Act 2013,IN,"Every company shall prepare, sign and keep minutes of proceedings of general meetings, Board meetings and resolutions passed by postal ballot within thirty days of the conclusion of every such meeting. Minutes shall be evidence.",Secretarial Standards 1
Annual General Meeting,Section 96,Companies Act 2013,IN,"Every company other than a One Person Company shall in each year hold in addition to any other meetings, a general meeting as its annual general meeting and shall specify the meeting as such in the notices calling it, and not more than fifteen months shall elapse between the date of one annual general meeting of a company and that of the next.",Section 97
Extraordinary General Meeting,Section 100,Companies Act 2013,IN,"The Board may, whenever it deems fit, call an extraordinary general meeting of the company, and shall do so on the requisition of members holding not less than one-tenth of the paid-up share capital.",Section 101
Quorum,Section 103,Companies Act 2013,IN,"Unless the articles of the company provide otherwise, the quorum for a general meeting shall be: five members personally present if the number of members as on the date of meeting is not more than one thousand; fifteen members personally present if the number of members as on the date of meeting is more than one thousand but up to five thousand.",Section 104
Directors' Duties,Section 166,Companies Act 2013,IN,"A director of a company shall act in accordance with the articles of the company, act in good faith in order to promote the objects of the company for the benefit of its members as a whole, and exercise his duties with due and reasonable care, skill and diligence.",Section 167
Prohibition of Insider Trading,Section 195,Companies Act 2013,IN,"No person including any director or key managerial personnel of a company shall enter into insider trading.",SEBI (Prohibition of Insider Trading) Regulations 2015
Corporate Social Responsibility,Section 135,Companies Act 2013,IN,"Every company having net worth of rupees five hundred crore or more, or turnover of rupees one thousand crore or more or a net profit of rupees five crore or more during the immediately preceding financial year shall constitute a Corporate Social Responsibility Committee.",Rule 5 Companies (CSR) Rules 2014
Share Capital,Section 43,Companies Act 2013,IN,"The share capital of a company limited by shares shall be of two kinds, namely: equity share capital and preference share capital.",Section 44
Prospectus,Section 26,Companies Act 2013,IN,"No form of application for the purchase of any of the securities of a company shall be issued unless such form is accompanied by an abridged prospectus.",Section 27
Appointment of Directors,Section 152,Companies Act 2013,IN,"Every person proposed to be appointed as a director by the company in general meeting or otherwise, shall furnish his Director Identification Number and a declaration that he is not disqualified to become a director under this Act.",Section 153
Independent Directors,Section 149,Companies Act 2013,IN,"Every listed public company shall have at least one-third of the total number of directors as independent directors and any fraction contained in that one-third number shall be rounded off to one.",Schedule IV
Audit Committee,Section 177,Companies Act 2013,IN,"The Board of Directors of every listed public company and such other class or classes of companies, as may be prescribed, shall constitute an Audit Committee.",Rule 6 Companies (Meetings of Board) Rules 2014
