title,section_code,act_name,jurisdiction,text,citations
Consumer Rights,Section 2(9),Consumer Protection Act 2019,IN,"Consumer rights include the right to be protected against marketing of goods and services which are hazardous to life and property; to be informed about the quality, quantity, potency, purity, standard and price of goods or services; and to be assured access to a variety of goods or services at competitive prices.",Chapter V
Product Liability,Section 82,Consumer Protection Act 2019,IN,"A product liability action may be brought by a complainant against a product manufacturer, product service provider or product seller for any harm caused due to a defective product or deficiency in services.",Section 84
Mediation,Section 74,Consumer Protection Act 2019,IN,"The District Commission or the State Commission, as the case may be, shall refer the parties to mediation, before it takes cognizance of the complaint, where it appears that there exists elements of a settlement.",Consumer Protection (Mediation) Rules 2020
Consumer Complaint,Section 35,Consumer Protection Act 2019,IN,"A complaint in relation to any goods sold or delivered or agreed to be sold or delivered or any service provided or agreed to be provided may be filed with a District Commission by the consumer.",Section 38
Deficiency in Service,Section 2(11),Consumer Protection Act 2019,IN,"Deficiency means any fault, imperfection, shortcoming or inadequacy in the quality, nature and manner of performance which is required to be maintained by or under any law for the time being in force or has been undertaken to be performed by a person in pursuance of a contract or otherwise in relation to any service.",Section 2(42)
Unfair Trade Practice,Section 2(47),Consumer Protection Act 2019,IN,"Unfair trade practice means a trade practice which, for the purpose of promoting the sale, use or supply of any goods or for the provision of any service, adopts any unfair method or unfair or deceptive practice.",Section 2(46)
Compensation,Section 38,Consumer Protection Act 2019,IN,"The District Commission may, after a proceeding conducted on a complaint, order the opposite party to remove the defect or deficiency in the goods or services, or to replace the goods or refund the price paid.",Section 39
Restrictive Trade Practice,Section 2(42),Consumer Protection Act 2019,IN,"Restrictive trade practice means a trade practice which tends to bring about manipulation of price or its conditions of delivery or to affect flow of supplies in the market relating to goods or services in such manner as to impose on the consumers unjustified costs or restrictions.",Section 2(47)
Consumer Disputes,Section 2(7),Consumer Protection Act 2019,IN,"Consumer dispute means a dispute where the person against whom a complaint has been made, denies or disputes the allegations contained in the complaint.",Section 36
E-commerce,Section 94,Consumer Protection Act 2019,IN,"Every e-commerce entity shall provide information regarding return, refund, exchange, warranty and guarantee, delivery and shipment, modes of payment, grievance redressal mechanism, payment security, and charge-back options.",E-commerce Rules 2020
Consumer Protection Councils,Section 4,Consumer Protection Act 2019,IN,"The Central Government shall, by notification, establish with effect from such date as it may specify in such notification, a Council to be known as the Central Consumer Protection Council.",Section 5
Penalties,Section 89,Consumer Protection Act 2019,IN,"Where a person is found guilty of manufacturing for sale or storing, selling or distributing or importing products containing adulterant, he shall be punishable with imprisonment for a term which may extend to two years and with fine which may extend to ten lakh rupees.",Section 90
