title,section_code,act_name,jurisdiction,text,citations
Formation of Contract,Section 10,Contract Act 1872,IN,"All agreements are contracts if they are made by the free consent of parties competent to contract, for a lawful consideration and with a lawful object, and are not hereby expressly declared to be void.",Section 2(h)
Free Consent,Section 14,Contract Act 1872,IN,"Consent is said to be free when it is not caused by coercion, fraud, misrepresentation, undue influence, or mistake.",Section 15-22
Competent Parties,Section 11,Contract Act 1872,IN,"Every person is competent to contract who is of the age of majority according to the law to which he is subject, and who is of sound mind, and is not disqualified from contracting by any law to which he is subject.",Indian Majority Act 1875
Void Agreements,Section 23,Contract Act 1872,IN,"The consideration or object of an agreement is lawful, unless it is forbidden by law, is of such nature that, if permitted, it would defeat the provisions of any law, or is fraudulent.",Section 24
Breach of Contract,Section 73,Contract Act 1872,IN,"When a contract has been broken, the party who suffers by such breach is entitled to receive, from the party who has broken the contract, compensation for any loss or damage caused to him thereby, which naturally arose in the usual course of things from such breach.",Section 74
Quantum of Damages,Section 74,Contract Act 1872,IN,"When a contract has been broken, if a sum is named in the contract as the amount to be paid in case of such breach, or if the contract contains any other stipulation by way of penalty, the party complaining of the breach is entitled, whether or not actual damage or loss is proved to have been caused thereby, to receive from the party who has broken the contract reasonable compensation not exceeding the amount so named or, as the case may be, the penalty stipulated for.",Section 73
Revocation of Offer,Section 5,Contract Act 1872,IN,"A proposal may be revoked at any time before the communication of its acceptance is complete as against the proposer, but not afterwards.",Section 6
Acceptance,Section 7,Contract Act 1872,IN,"In order to convert a proposal into a promise, the acceptance must be absolute and unqualified, and must be expressed in some usual and reasonable manner.",Section 8
Consideration,Section 2(d),Contract Act 1872,IN,"When, at the desire of the promisor, the promisee or any other person has done or abstained from doing, or does or abstains from doing, or promises to do or to abstain from doing, something, such act or abstinence or promise is called a consideration for the promise.",Section 25
Specific Performance,Section 10,Contract Act 1872,IN,"Specific performance means the actual execution of the contract according to its stipulations. It is an equitable remedy when damages are inadequate.",Specific Relief Act 1963
Fraud,Section 17,Contract Act 1872,IN,"Fraud means and includes any of the following acts committed by a party to a contract, or with his connivance, or by his agent, with intent to deceive another party thereto or his agent, or to induce him to enter into the contract.",Section 18
Undue Influence,Section 16,Contract Act 1872,IN,"A contract is said to be induced by undue influence where the relations subsisting between the parties are such that one of the parties is in a position to dominate the will of the other and uses that position to obtain an unfair advantage over the other.",Section 19
Coercion,Section 15,Contract Act 1872,IN,"Coercion is the committing, or threatening to commit, any act forbidden by the Indian Penal Code, or the unlawful detaining, or threatening to detain, any property, to the prejudice of any person whatever, with the intention of causing any person to enter into an agreement.",Section 19
Revocation of Contract,Section 39,Contract Act 1872,IN,"When a party to a contract has refused to perform, or disabled himself from performing, his promise in its entirety, the promisee may put an end to the contract, unless he has signified, by words or conduct, his acquiescence in its continuance.",Section 40
