title,section_code,act_name,jurisdiction,text,citations
Jurisdiction of Courts,Section 15,Civil Procedure Code 1908,IN,"Every suit shall be instituted in the Court of the lowest grade competent to try it.",Section 16
Res Judicata,Section 11,Civil Procedure Code 1908,IN,"No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties, or between parties under whom they or any of them claim, litigating under the same title, in a Court competent to try such subsequent suit or the suit in which such issue has been subsequently raised, and has been heard and finally decided by such Court.",Section 12
Place of Suing,Section 16,Civil Procedure Code 1908,IN,"Subject to the limitations aforesaid, every suit shall be instituted in a Court within the local limits of whose jurisdiction the defendant, or each of the defendants, where there are more than one, at the time of the commencement of the suit, actually and voluntarily resides, or carries on business, or personally works for gain.",Section 17
Arrest before Judgment,Section 94,Civil Procedure Code 1908,IN,"Where, at any stage of a suit, the Court is satisfied, by affidavit or otherwise, that the defendant, with intent to delay the plaintiff, or to avoid any process of the Court or to obstruct or delay the execution of any decree that may be passed against him, is about to dispose of his property or to remove it from the local limits of the jurisdiction of the Court, the Court may direct the defendant to furnish security.",Section 95
Attachment before Judgment,Section 95,Civil Procedure Code 1908,IN,"Where the plaintiff satisfies the Court by affidavit or otherwise that the defendant, with intent to obstruct or delay the execution of any decree that may be passed against him, is about to dispose of his property or to remove it from the local limits of the jurisdiction of the Court, the Court may direct the defendant to furnish security.",Section 96
Appeal,Section 96,Civil Procedure Code 1908,IN,"Save where otherwise expressly provided in the body of this Code or by any other law for the time being in force, an appeal shall lie from every decree passed by any Court exercising original jurisdiction to the Court authorized to hear appeals from the decisions of such Court.",Section 97
Execution,Section 36,Civil Procedure Code 1908,IN,"The provisions of this Code relating to the execution of decrees shall apply to the execution of orders.",Section 37
Limitation,Section 3,Limitation Act 1963,IN,"Subject to the provisions contained in sections 4 to 24, every suit instituted, appeal preferred, and application made after the prescribed period shall be dismissed although limitation has not been set up as a defence.",Section 4
Limitation Period,Section 2(j),Limitation Act 1963,IN,"Period of limitation means the period of limitation prescribed for any suit, appeal or application by the Schedule, and prescribed period means the period of limitation computed in accordance with the provisions of this Act.",Section 3
Interim Orders,Section 94,Civil Procedure Code 1908,IN,"In order to prevent the ends of justice from being defeated the Court may, if it is so prescribed, make such interlocutory orders as may appear to be just and convenient.",Section 95
Injunction,Section 36,Civil Procedure Code 1908,IN,"Where it is proved by affidavit or otherwise that any property in dispute in a suit is in danger of being wasted, damaged or alienated by any party to the suit, or wrongfully sold in execution of a decree, the Court may by order grant a temporary injunction.",Section 37
Costs,Section 35,Civil Procedure Code 1908,IN,"The costs of and incident to all suits shall be in the discretion of the Court, and the Court shall have full power to determine by whom or out of what property and to what extent such costs are to be paid.",Section 35A
Stay of Suit,Section 10,Civil Procedure Code 1908,IN,"No Court shall proceed with the trial of any suit in which the matter in issue is also directly and substantially in issue in a previously instituted suit between the same parties, or between parties under whom they or any of them claim litigating under the same title where such suit is pending in the same or any other Court in India having jurisdiction to grant the relief claimed.",Section 11
Set Off,Section 6,Civil Procedure Code 1908,IN,"Where in a suit for recovery of money the defendant finds that he has a claim against the plaintiff, he may, instead of instituting a separate suit, claim set off, whether such claim be ascertained or not.",Section 7
Counter Claim,Section 8A,Civil Procedure Code 1908,IN,"A defendant in a suit may, in addition to his right of pleading a set-off, set up by way of counter-claim against the claim of the plaintiff, any right or claim in respect of a cause of action accruing to the defendant against the plaintiff either before or after the filing of the suit but before the defendant has delivered his defence.",Section 8B

