title,section_code,act_name,jurisdiction,text,citations
Relevancy of Facts,Section 5,Indian Evidence Act 1872,IN,"Evidence may be given of facts in issue and relevant facts.",Section 6
Admission,Section 17,Indian Evidence Act 1872,IN,"An admission is a statement, oral or documentary or contained in electronic form, which suggests any inference as to any fact in issue or relevant fact, and which is made by any of the persons, and under the circumstances, hereinafter mentioned.",Section 18
Confession,Section 24,Indian Evidence Act 1872,IN,"A confession made by an accused person is irrelevant in a criminal proceeding, if the making of the confession appears to the Court to have been caused by any inducement, threat or promise, having reference to the charge against the accused person, proceeding from a person in authority and sufficient, in the opinion of the Court, to give the accused person grounds, which would appear to him reasonable, for supposing that by making it he would gain any advantage or avoid any evil of a temporal nature in reference to the proceedings against him.",Section 25
Dying Declaration,Section 32,Indian Evidence Act 1872,IN,"Statements, written or verbal, of relevant facts made by a person who is dead, or who cannot be found, or who has become incapable of giving evidence, or whose attendance cannot be procured, are themselves relevant facts in the following cases.",Section 33
Expert Opinion,Section 45,Indian Evidence Act 1872,IN,"When the Court has to form an opinion upon a point of foreign law or of science or art, or as to identity of handwriting or finger impressions, the opinions upon that point of persons specially skilled in such foreign law, science or art, or in questions as to identity of handwriting or finger impressions are relevant facts.",Section 46
Character Evidence,Section 52,Indian Evidence Act 1872,IN,"In civil cases, the fact that the character of any person concerned is such as to render probable or improbable any conduct imputed to him is irrelevant, except in so far as such character appears from facts otherwise relevant.",Section 53
Burden of Proof,Section 101,Indian Evidence Act 1872,IN,"Whoever desires any Court to give judgment as to any legal right or liability dependent on the existence of facts which he asserts, must prove that those facts exist.",Section 102
Burden of Proof in Criminal Cases,Section 103,Indian Evidence Act 1872,IN,"The burden of proof as to any particular fact lies on that person who wishes the Court to believe in its existence, unless it is provided by any law that the proof of that fact shall lie on any particular person.",Section 104
Presumption,Section 105,Indian Evidence Act 1872,IN,"When a person is accused of any offence, the burden of proving the existence of circumstances bringing the case within any of the General Exceptions in the Indian Penal Code, or within any special exception or proviso contained in any other part of the same Code, or in any law defining the offence, is upon him, and the Court shall presume the absence of such circumstances.",Section 106
Documentary Evidence,Section 61,Indian Evidence Act 1872,IN,"The contents of documents may be proved either by primary or by secondary evidence.",Section 62
Primary Evidence,Section 62,Indian Evidence Act 1872,IN,"Primary evidence means the document itself produced for the inspection of the Court.",Section 63
Secondary Evidence,Section 63,Indian Evidence Act 1872,IN,"Secondary evidence means and includes certified copies of documents, copies of documents made from the original by mechanical processes, copies made from or compared with the original, counterparts of documents, and oral accounts of the contents of documents.",Section 64
Public Documents,Section 74,Indian Evidence Act 1872,IN,"The following documents are public documents: documents forming the acts or records of the acts of the sovereign authority, of official bodies and tribunals, and of public officers, legislative, judicial and executive.",Section 75
Private Documents,Section 75,Indian Evidence Act 1872,IN,"All other documents are private.",Section 74
Hearsay Evidence,Section 60,Indian Evidence Act 1872,IN,"Oral evidence must, in all cases, be direct; that is to say, if it refers to a fact which could be seen, it must be the evidence of a witness who says he saw it; if it refers to a fact which could be heard, it must be the evidence of a witness who says he heard it.",Section 60
Estoppel,Section 115,Indian Evidence Act 1872,IN,"When one person has, by his declaration, act or omission, intentionally caused or permitted another person to believe a thing to be true and to act upon such belief, neither he nor his representative shall be allowed, in any suit or proceeding between himself and such person or his representative, to deny the truth of that thing.",Section 116

