title,section_code,act_name,jurisdiction,text,citations
GST Levy,Section 9,CGST Act 2017,IN,"There shall be levied a tax called the Central Goods and Services Tax on all intra-State supplies of goods or services or both, except on the supply of alcoholic liquor for human consumption, on the value determined under section 15.",Section 10
Taxable Supply,Section 7,CGST Act 2017,IN,"For the purposes of this Act, the expression supply includes all forms of supply of goods or services or both such as sale, transfer, barter, exchange, licence, rental, lease or disposal made or agreed to be made for a consideration by a person in the course or furtherance of business.",Section 8
Input Tax Credit,Section 16,CGST Act 2017,IN,"Every registered person shall, subject to such conditions and restrictions as may be prescribed and in the manner specified in section 49, be entitled to take credit of input tax charged on any supply of goods or services or both to him which are used or intended to be used in the course or furtherance of his business.",Section 17
Registration,Section 22,CGST Act 2017,IN,"Every supplier shall be liable to be registered under this Act in the State or Union territory, other than special category States, from where he makes a taxable supply of goods or services or both, if his aggregate turnover in a financial year exceeds twenty lakh rupees.",Section 23
Returns,Section 37,CGST Act 2017,IN,"Every registered person shall furnish electronically a return for every calendar month in such form and manner as may be prescribed on or before the twentieth day of the month succeeding such calendar month.",Section 38
Place of Supply,Section 12,CGST Act 2017,IN,"The place of supply of goods, other than supply of goods imported into, or exported from India, shall be the location of the goods at the time at which the movement of goods terminates for delivery to the recipient.",Section 13
Time of Supply,Section 12,CGST Act 2017,IN,"The liability to pay tax on goods shall arise at the time of supply, as determined in accordance with the provisions of this section.",Section 13
Value of Supply,Section 15,CGST Act 2017,IN,"The value of a supply of goods or services or both shall be the transaction value, which is the price actually paid or payable for the said supply of goods or services or both where the supplier and the recipient of the supply are not related and the price is the sole consideration for the supply.",Section 16
Refund,Section 54,CGST Act 2017,IN,"Any person claiming refund of any tax and interest, if any, paid on such tax or any other amount paid by him, may make an application in such form and manner as may be prescribed.",Section 55
Assessment,Section 59,CGST Act 2017,IN,"Every registered person shall self-assess the taxes payable under this Act and furnish a return for each tax period as specified under section 39.",Section 60
Penalty,Section 122,CGST Act 2017,IN,"Where a taxable person who is liable to pay tax under the provisions of this Act or the rules made thereunder, fails to pay the tax or any part thereof to the Government within the period prescribed, he shall, without prejudice to any other action which may be taken under this Act or the rules made thereunder, be liable to pay a penalty of ten thousand rupees or an amount equivalent to the tax evaded or the tax not deducted under section 51 or short deducted or deducted but not paid under section 52 or the tax not collected under section 52 or short collected or collected but not paid, or the input tax credit availed of or passed on or distributed irregularly, whichever is higher.",Section 123
Appeal,Section 107,CGST Act 2017,IN,"Any person aggrieved by any decision or order passed under this Act or the State Goods and Services Tax Act or the Union Territory Goods and Services Tax Act may appeal to such Appellate Authority as may be prescribed within three months from the date on which the said decision or order is communicated to such person.",Section 108

