title,section_code,act_name,jurisdiction,text,citations
Digital Signatures,Section 3,IT Act 2000,IN,"Any subscriber may authenticate an electronic record by affixing his digital signature. The authentication of the electronic record shall be effected by the use of asymmetric crypto system and hash function.",Section 4
Data Protection,Section 43A,IT Act 2000,IN,"Where a body corporate, possessing, dealing or handling any sensitive personal data or information in a computer resource which it owns, controls or operates, is negligent in implementing and maintaining reasonable security practices and procedures and thereby causes wrongful loss or wrongful gain to any person, such body corporate shall be liable to pay damages by way of compensation to the person so affected.",DPDP Act 2023
Cyber Crime,Section 66,IT Act 2000,IN,"If any person, dishonestly or fraudulently, does any act referred to in section 43, he shall be punishable with imprisonment for a term which may extend to three years or with fine which may extend to five lakh rupees or with both.",Section 43
Unauthorized Access,Section 43,IT Act 2000,IN,"If any person without permission of the owner or any other person who is in charge of a computer, computer system or computer network accesses or secures access to such computer, computer system or computer network, he shall be liable to pay damages by way of compensation not exceeding one crore rupees to the person so affected.",Section 66
Identity Theft,Section 66C,IT Act 2000,IN,"Whoever, fraudulently or dishonestly make use of the electronic signature, password or any other unique identification feature of any other person, shall be punished with imprisonment of either description for a term which may extend to three years and shall also be liable to fine which may extend to rupees one lakh.",Section 66D
Cheating by Personation,Section 66D,IT Act 2000,IN,"Whoever, by means of any communication device or computer resource cheats by personation, shall be punished with imprisonment of either description for a term which may extend to three years and shall also be liable to fine which may extend to one lakh rupees.",Section 66C
Privacy Violation,Section 66E,IT Act 2000,IN,"Whoever, intentionally or knowingly captures, publishes or transmits the image of a private area of any person without his or her consent, under circumstances violating the privacy of that person, shall be punished with imprisonment which may extend to three years or with fine not exceeding two lakh rupees, or with both.",Section 67
Pornography,Section 67,IT Act 2000,IN,"Whoever publishes or transmits or causes to be published or transmitted in the electronic form, any material which is lascivious or appeals to the prurient interest or if its effect is such as to tend to deprave and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the matter contained or embodied in it, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years and with fine which may extend to five lakh rupees.",Section 67A
Intermediary Liability,Section 79,IT Act 2000,IN,"An intermediary shall not be liable for any third party information, data, or communication link made available or hosted by him if the intermediary does not initiate the transmission, does not select the receiver of the transmission, and does not select or modify the information contained in the transmission.",IT Rules 2021
Certifying Authority,Section 24,IT Act 2000,IN,"A Certifying Authority shall, while issuing a Digital Signature Certificate, certify that it has complied with the provisions of this Act and the rules and regulations made thereunder.",Section 25
Electronic Governance,Section 4,IT Act 2000,IN,"Where any law provides that information or any other matter shall be in writing or in the typewritten or printed form, then, notwithstanding anything contained in such law, such requirement shall be deemed to have been satisfied if such information or matter is rendered or made available in an electronic form.",Section 5
Online Contracts,Section 10A,IT Act 2000,IN,"Where in a contract formation, the communication of proposals, the acceptance of proposals, the revocation of proposals and acceptances, as the case may be, are expressed in electronic form or by means of an electronic record, such contract shall not be deemed to be unenforceable solely on the ground that such electronic form or means was used for that purpose.",Section 11
Adjudication,Section 46,IT Act 2000,IN,"For the purposes of adjudging under this Act whether any person has committed a contravention, the Central Government may, by notification, appoint any officer not below the rank of a Director to the Government of India or an equivalent officer of a State Government to be an adjudicating officer.",Section 47
Cyber Appellate Tribunal,Section 48,IT Act 2000,IN,"The Central Government shall, by notification, establish one or more appellate tribunals to be known as the Cyber Appellate Tribunal.",Section 49
Offences by Companies,Section 85,IT Act 2000,IN,"Where a person committing a contravention of any of the provisions of this Act or of any rule, direction or order made thereunder is a company, every person who, at the time the contravention was committed, was in charge of, and was responsible to, the company for the conduct of business of the company as well as the company, shall be guilty of the contravention and shall be liable to be proceeded against and punished accordingly.",Section 86
