title,section_code,act_name,jurisdiction,text,citations
Employment Contract,Section 14,Industrial Disputes Act 1947,IN,"No employer shall terminate the services of a workman who has been in continuous service for not less than one year without giving him one month's notice in writing or wages in lieu thereof.",Section 25F
Workman Definition,Section 2(s),Industrial Disputes Act 1947,IN,"Workman means any person employed in any industry to do any manual, unskilled, skilled, technical, operational, clerical or supervisory work for hire or reward.",Section 2(k)
Retrenchment,Section 25F,Industrial Disputes Act 1947,IN,"No workman employed in any industry who has been in continuous service for not less than one year under an employer shall be retrenched by that employer until the workman has been given one month's notice in writing indicating the reasons for retrenchment.",Section 25N
Gratuity,Section 4,Payment of Gratuity Act 1972,IN,"Gratuity shall be payable to an employee on the termination of his employment after he has rendered continuous service for not less than five years.",Section 4(1)
Provident Fund,Section 5,Employees' Provident Funds Act 1952,IN,"The Central Government may, by notification in the Official Gazette, frame a Scheme to be called the Employees' Provident Funds Scheme for the establishment of provident funds under this Act for employees or for any class of employees.",EPF Scheme 1952
Minimum Wages,Section 3,Minimum Wages Act 1948,IN,"The appropriate Government shall fix the minimum rates of wages payable to employees employed in an employment specified in Part I or Part II of the Schedule.",Section 4
Working Hours,Section 51,Factories Act 1948,IN,"No adult worker shall be required or allowed to work in a factory for more than forty-eight hours in any week.",Section 59
Overtime,Section 59,Factories Act 1948,IN,"Where a worker works in a factory for more than nine hours in any day or for more than forty-eight hours in any week, he shall, in respect of overtime work, be entitled to wages at the rate of twice his ordinary rate of wages.",Section 51
Maternity Benefits,Section 5,Maternity Benefit Act 1961,IN,"Subject to the provisions of this Act, every woman shall be entitled to, and her employer shall be liable for, the payment of maternity benefit at the rate of the average daily wage for the period of her actual absence.",Section 6
Sexual Harassment,Section 9,Sexual Harassment of Women at Workplace Act 2013,IN,"Every employer shall, by an order in writing, constitute a Committee to be known as the Internal Complaints Committee at each office or branch of the organisation.",Section 11
Equal Remuneration,Section 4,Equal Remuneration Act 1976,IN,"No employer shall pay to any worker, employed by him in an establishment or employment, remuneration, whether payable in cash or in kind, at rates less favorable than those at which remuneration is paid to workers of the opposite sex in such establishment or employment for work of a similar nature.",Section 5
Contract Labour,Section 10,Contract Labour (Regulation and Abolition) Act 1970,IN,"The appropriate Government may, after consultation with the Central Board or State Board, as the case may be, prohibit, by notification in the Official Gazette, employment of contract labour in any process, operation or other work in any establishment.",Section 11

