title,section_code,act_name,jurisdiction,text,citations
Sale of Goods,Section 4,Sale of Goods Act 1930,IN,"A contract of sale of goods is a contract whereby the seller transfers or agrees to transfer the property in goods to the buyer for a price.",Section 2
Contract of Sale,Section 5,Sale of Goods Act 1930,IN,"A contract of sale may be made in writing or by word of mouth, or partly in writing and partly by word of mouth, or may be implied from the conduct of the parties.",Section 6
Conditions and Warranties,Section 12,Sale of Goods Act 1930,IN,"A stipulation in a contract of sale with reference to goods which are the subject thereof may be a condition or a warranty.",Section 13
Implied Condition as to Title,Section 14,Sale of Goods Act 1930,IN,"In a contract of sale, unless the circumstances of the contract are such as to show a different intention, there is an implied condition on the part of the seller that, in the case of a sale, he has a right to sell the goods, and that, in the case of an agreement to sell, he will have a right to sell the goods at the time when the property is to pass.",Section 15
Implied Condition as to Description,Section 15,Sale of Goods Act 1930,IN,"Where there is a contract for the sale of goods by description, there is an implied condition that the goods shall correspond with the description.",Section 16
Implied Condition as to Quality,Section 16,Sale of Goods Act 1930,IN,"Subject to the provisions of this Act and of any other law for the time being in force, there is no implied warranty or condition as to the quality or fitness for any particular purpose of goods supplied under a contract of sale.",Section 17
Transfer of Property,Section 18,Sale of Goods Act 1930,IN,"Where there is a contract for the sale of unascertained goods, no property in the goods is transferred to the buyer unless and until the goods are ascertained.",Section 19
Risk Prima Facie Passes with Property,Section 26,Sale of Goods Act 1930,IN,"Unless otherwise agreed, the goods remain at the seller's risk until the property therein is transferred to the buyer, but when the property therein is transferred to the buyer, the goods are at the buyer's risk whether delivery has been made or not.",Section 27
Delivery,Section 2(2),Sale of Goods Act 1930,IN,"Delivery means voluntary transfer of possession from one person to another.",Section 2(3)
Performance of Contract,Section 31,Sale of Goods Act 1930,IN,"It is the duty of the seller to deliver the goods and of the buyer to accept and pay for them, in accordance with the terms of the contract of sale.",Section 32
Payment and Delivery,Section 32,Sale of Goods Act 1930,IN,"Unless otherwise agreed, delivery of the goods and payment of the price are concurrent conditions; that is to say, the seller shall be ready and willing to give possession of the goods to the buyer in exchange for the price, and the buyer shall be ready and willing to pay the price in exchange for possession of the goods.",Section 33
Unpaid Seller,Section 45,Sale of Goods Act 1930,IN,"The seller of goods is deemed to be an unpaid seller when the whole of the price has not been paid or tendered, or when a bill of exchange or other negotiable instrument has been received as conditional payment, and the condition on which it was received has not been fulfilled by reason of the dishonour of the instrument or otherwise.",Section 46
Right of Lien,Section 47,Sale of Goods Act 1930,IN,"Subject to the provisions of this Act, the unpaid seller of goods who is in possession of them is entitled to retain possession of them until payment or tender of the price in the following cases.",Section 48
Stoppage in Transit,Section 50,Sale of Goods Act 1930,IN,"Subject to the provisions of this Act, when the buyer of goods becomes insolvent, the unpaid seller who has parted with the possession of the goods has the right of stopping them in transit, that is to say, he may resume possession of the goods as long as they are in the course of transit, and may retain them until payment or tender of the price.",Section 51
Right of Resale,Section 54,Sale of Goods Act 1930,IN,"Subject to the provisions of this section, a contract of sale is not rescinded by the mere exercise by an unpaid seller of his right of lien or stoppage in transit.",Section 55
Breach of Contract,Section 55,Sale of Goods Act 1930,IN,"When the seller wrongfully neglects or refuses to deliver the goods to the buyer, the buyer may sue the seller for damages for non-delivery.",Section 56
Damages for Non-Delivery,Section 57,Sale of Goods Act 1930,IN,"Where the seller wrongfully neglects or refuses to deliver the goods to the buyer, the buyer may sue the seller for damages for non-delivery.",Section 58
Specific Performance,Section 58,Sale of Goods Act 1930,IN,"Subject to the provisions of Chapter II of the Specific Relief Act, 1877, in any suit for breach of contract to deliver specific or ascertained goods, the Court may, if it thinks fit, on the application of the plaintiff, by its decree direct that the contract shall be performed specifically, without giving the defendant the option of retaining the goods on payment of damages.",Section 59

